#doc,name,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion
5724,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_4817.txt,0,0.1948717949,24,0.0564102564,10,0.041025641,5,0.041025641,29,0.0256410256,28,0.0256410256,27,0.0256410256,26,0.0256410256,25,0.0256410256,23,0.0256410256,22,0.0256410256,21,0.0256410256,20,0.0256410256,19,0.0256410256,18,0.0256410256,17,0.0256410256,16,0.0256410256,15,0.0256410256,14,0.0256410256,13,0.0256410256,12,0.0256410256,11,0.0256410256,9,0.0256410256,8,0.0256410256,7,0.0256410256,6,0.0256410256,4,0.0256410256,3,0.0256410256,2,0.0256410256,1,0.0256410256
283,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_1822.txt,0,0.1924882629,20,0.0657276995,16,0.0516431925,24,0.0375586854,23,0.0375586854,17,0.0375586854,4,0.0375586854,29,0.0234741784,28,0.0234741784,27,0.0234741784,26,0.0234741784,25,0.0234741784,22,0.0234741784,21,0.0234741784,19,0.0234741784,18,0.0234741784,15,0.0234741784,14,0.0234741784,13,0.0234741784,12,0.0234741784,11,0.0234741784,10,0.0234741784,9,0.0234741784,8,0.0234741784,7,0.0234741784,6,0.0234741784,5,0.0234741784,3,0.0234741784,2,0.0234741784,1,0.0234741784
1417,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_1286.txt,0,0.1890547264,24,0.039800995,18,0.039800995,16,0.039800995,15,0.039800995,12,0.039800995,4,0.039800995,29,0.0248756219,28,0.0248756219,27,0.0248756219,26,0.0248756219,25,0.0248756219,23,0.0248756219,22,0.0248756219,21,0.0248756219,20,0.0248756219,19,0.0248756219,17,0.0248756219,14,0.0248756219,13,0.0248756219,11,0.0248756219,10,0.0248756219,9,0.0248756219,8,0.0248756219,7,0.0248756219,6,0.0248756219,5,0.0248756219,3,0.0248756219,2,0.0248756219,1,0.0248756219
4990,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6030.txt,0,0.1592039801,24,0.0547263682,29,0.039800995,16,0.039800995,15,0.039800995,12,0.039800995,10,0.039800995,9,0.039800995,28,0.0248756219,27,0.0248756219,26,0.0248756219,25,0.0248756219,23,0.0248756219,22,0.0248756219,21,0.0248756219,20,0.0248756219,19,0.0248756219,18,0.0248756219,17,0.0248756219,14,0.0248756219,13,0.0248756219,11,0.0248756219,8,0.0248756219,7,0.0248756219,6,0.0248756219,5,0.0248756219,4,0.0248756219,3,0.0248756219,2,0.0248756219,1,0.0248756219
6725,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5125.txt,0,0.1559139785,29,0.0430107527,18,0.0430107527,16,0.0430107527,4,0.0430107527,28,0.0268817204,27,0.0268817204,26,0.0268817204,25,0.0268817204,24,0.0268817204,23,0.0268817204,22,0.0268817204,21,0.0268817204,20,0.0268817204,19,0.0268817204,17,0.0268817204,15,0.0268817204,14,0.0268817204,13,0.0268817204,12,0.0268817204,11,0.0268817204,10,0.0268817204,9,0.0268817204,8,0.0268817204,7,0.0268817204,6,0.0268817204,5,0.0268817204,3,0.0268817204,2,0.0268817204,1,0.0268817204
5364,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_1823.txt,0,0.1534391534,25,0.0423280423,24,0.0423280423,19,0.0423280423,18,0.0423280423,11,0.0423280423,29,0.0264550265,28,0.0264550265,27,0.0264550265,26,0.0264550265,23,0.0264550265,22,0.0264550265,21,0.0264550265,20,0.0264550265,17,0.0264550265,16,0.0264550265,15,0.0264550265,14,0.0264550265,13,0.0264550265,12,0.0264550265,10,0.0264550265,9,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,4,0.0264550265,3,0.0264550265,2,0.0264550265,1,0.0264550265
1765,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3157.txt,0,0.1510416667,29,0.0416666667,18,0.0416666667,16,0.0416666667,15,0.0416666667,12,0.0416666667,3,0.0416666667,28,0.0260416667,27,0.0260416667,26,0.0260416667,25,0.0260416667,24,0.0260416667,23,0.0260416667,22,0.0260416667,21,0.0260416667,20,0.0260416667,19,0.0260416667,17,0.0260416667,14,0.0260416667,13,0.0260416667,11,0.0260416667,10,0.0260416667,9,0.0260416667,8,0.0260416667,7,0.0260416667,6,0.0260416667,5,0.0260416667,4,0.0260416667,2,0.0260416667,1,0.0260416667
3468,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_2506.txt,0,0.1397849462,20,0.0752688172,12,0.0430107527,10,0.0430107527,29,0.0268817204,28,0.0268817204,27,0.0268817204,26,0.0268817204,25,0.0268817204,24,0.0268817204,23,0.0268817204,22,0.0268817204,21,0.0268817204,19,0.0268817204,18,0.0268817204,17,0.0268817204,16,0.0268817204,15,0.0268817204,14,0.0268817204,13,0.0268817204,11,0.0268817204,9,0.0268817204,8,0.0268817204,7,0.0268817204,6,0.0268817204,5,0.0268817204,4,0.0268817204,3,0.0268817204,2,0.0268817204,1,0.0268817204
6411,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_315.txt,0,0.1397849462,21,0.0591397849,19,0.0430107527,12,0.0430107527,2,0.0430107527,29,0.0268817204,28,0.0268817204,27,0.0268817204,26,0.0268817204,25,0.0268817204,24,0.0268817204,23,0.0268817204,22,0.0268817204,20,0.0268817204,18,0.0268817204,17,0.0268817204,16,0.0268817204,15,0.0268817204,14,0.0268817204,13,0.0268817204,11,0.0268817204,10,0.0268817204,9,0.0268817204,8,0.0268817204,7,0.0268817204,6,0.0268817204,5,0.0268817204,4,0.0268817204,3,0.0268817204,1,0.0268817204
176,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5340.txt,0,0.1299435028,26,0.0451977401,24,0.0451977401,16,0.0451977401,29,0.0282485876,28,0.0282485876,27,0.0282485876,25,0.0282485876,23,0.0282485876,22,0.0282485876,21,0.0282485876,20,0.0282485876,19,0.0282485876,18,0.0282485876,17,0.0282485876,15,0.0282485876,14,0.0282485876,13,0.0282485876,12,0.0282485876,11,0.0282485876,10,0.0282485876,9,0.0282485876,8,0.0282485876,7,0.0282485876,6,0.0282485876,5,0.0282485876,4,0.0282485876,3,0.0282485876,2,0.0282485876,1,0.0282485876
434,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5424.txt,0,0.1256830601,4,0.0601092896,24,0.043715847,23,0.043715847,2,0.043715847,29,0.0273224044,28,0.0273224044,27,0.0273224044,26,0.0273224044,25,0.0273224044,22,0.0273224044,21,0.0273224044,20,0.0273224044,19,0.0273224044,18,0.0273224044,17,0.0273224044,16,0.0273224044,15,0.0273224044,14,0.0273224044,13,0.0273224044,12,0.0273224044,11,0.0273224044,10,0.0273224044,9,0.0273224044,8,0.0273224044,7,0.0273224044,6,0.0273224044,5,0.0273224044,3,0.0273224044,1,0.0273224044
1608,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3060.txt,0,0.1216931217,4,0.1058201058,16,0.0582010582,29,0.0264550265,28,0.0264550265,27,0.0264550265,26,0.0264550265,25,0.0264550265,24,0.0264550265,23,0.0264550265,22,0.0264550265,21,0.0264550265,20,0.0264550265,19,0.0264550265,18,0.0264550265,17,0.0264550265,15,0.0264550265,14,0.0264550265,13,0.0264550265,12,0.0264550265,11,0.0264550265,10,0.0264550265,9,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,3,0.0264550265,2,0.0264550265,1,0.0264550265
4918,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3270.txt,0,0.1216931217,4,0.0582010582,26,0.0423280423,24,0.0423280423,20,0.0423280423,15,0.0423280423,1,0.0423280423,29,0.0264550265,28,0.0264550265,27,0.0264550265,25,0.0264550265,23,0.0264550265,22,0.0264550265,21,0.0264550265,19,0.0264550265,18,0.0264550265,17,0.0264550265,16,0.0264550265,14,0.0264550265,13,0.0264550265,12,0.0264550265,11,0.0264550265,10,0.0264550265,9,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,3,0.0264550265,2,0.0264550265
5725,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6276.txt,0,0.1197916667,4,0.0572916667,29,0.0416666667,24,0.0416666667,18,0.0416666667,12,0.0416666667,11,0.0416666667,10,0.0416666667,28,0.0260416667,27,0.0260416667,26,0.0260416667,25,0.0260416667,23,0.0260416667,22,0.0260416667,21,0.0260416667,20,0.0260416667,19,0.0260416667,17,0.0260416667,16,0.0260416667,15,0.0260416667,14,0.0260416667,13,0.0260416667,9,0.0260416667,8,0.0260416667,7,0.0260416667,6,0.0260416667,5,0.0260416667,3,0.0260416667,2,0.0260416667,1,0.0260416667
2736,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3985.txt,0,0.1179487179,29,0.0717948718,20,0.0564102564,28,0.041025641,16,0.041025641,4,0.041025641,2,0.041025641,27,0.0256410256,26,0.0256410256,25,0.0256410256,24,0.0256410256,23,0.0256410256,22,0.0256410256,21,0.0256410256,19,0.0256410256,18,0.0256410256,17,0.0256410256,15,0.0256410256,14,0.0256410256,13,0.0256410256,12,0.0256410256,11,0.0256410256,10,0.0256410256,9,0.0256410256,8,0.0256410256,7,0.0256410256,6,0.0256410256,5,0.0256410256,3,0.0256410256,1,0.0256410256
5574,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6265.txt,0,0.112745098,20,0.0980392157,18,0.068627451,29,0.0392156863,27,0.0392156863,16,0.0392156863,13,0.0392156863,28,0.0245098039,26,0.0245098039,25,0.0245098039,24,0.0245098039,23,0.0245098039,22,0.0245098039,21,0.0245098039,19,0.0245098039,17,0.0245098039,15,0.0245098039,14,0.0245098039,12,0.0245098039,11,0.0245098039,10,0.0245098039,9,0.0245098039,8,0.0245098039,7,0.0245098039,6,0.0245098039,5,0.0245098039,4,0.0245098039,3,0.0245098039,2,0.0245098039,1,0.0245098039
